time,open,high,low,close,Volume,Volume MA
2020-06-01T17:00:00Z,1.28,1.29,1.22,1.27,112512.54855048,107724.50544189355
2020-06-02T17:00:00Z,1.27,1.3,1.25,1.27,87606.03717994,111087.64057164403
2020-06-03T17:00:00Z,1.28,1.31,1.26,1.29,86683.38995874,104288.20104365403
2020-06-04T17:00:00Z,1.27,1.3,1.27,1.3,46453.96689675,100000.52587269954
2020-06-05T17:00:00Z,1.3,1.3,1.27,1.28,7888.51692879,99767.94848023703
2020-06-06T17:00:00Z,1.29,1.29,1.26,1.28,66278.40295216,100310.16091322152
2020-06-07T17:00:00Z,1.27,1.29,1.26,1.26,30482.30261993,99920.59308490902
2020-06-08T17:00:00Z,1.28,1.3,1.27,1.27,64283.56085998,97623.20865164553
2020-06-09T17:00:00Z,1.27,1.36,1.27,1.35,105045.03308782,90588.70756697454
2020-06-10T17:00:00Z,1.3,1.51,1.28,1.28,549141.11088516,107293.95633191604
2020-06-11T17:00:00Z,1.29,1.4,1.27,1.28,138158.29956602,106457.54180837053
2020-06-12T17:00:00Z,1.31,1.35,1.31,1.34,33852.44375034,102976.78893258603
2020-06-13T17:00:00Z,1.34,1.36,1.29,1.29,84146.94567218,103421.96775927603
2020-06-14T17:00:00Z,1.31,1.31,1.16,1.23,197123.26789759,97521.07091670352
2020-06-15T17:00:00Z,1.25,1.3,1.19,1.24,95780.46161232,98235.20764664153
2020-06-16T17:00:00Z,1.24,1.3,1.22,1.28,179232.15885612,105644.55853632854
2020-06-17T17:00:00Z,1.28,1.31,1.25,1.29,35146.8029613,103231.69849145654
2020-06-18T17:00:00Z,1.29,1.31,1.2,1.26,150567.28079457,108332.66010884652
2020-06-19T17:00:00Z,1.32,1.32,1.26,1.29,18380.5780563,106738.20716947553
2020-06-20T17:00:00Z,1.28,1.37,1.28,1.35,189399.13440524,113908.11217458654
2020-06-21T17:00:00Z,1.3,1.42,1.3,1.41,125143.7991464,114539.67470438252
2020-06-22T17:00:00Z,1.35,1.42,1.34,1.38,16959.81921229,111007.36380600002
2020-06-23T17:00:00Z,1.41,1.41,1.31,1.31,51969.69674646,109271.67914538602
2020-06-24T17:00:00Z,1.36,1.36,1.28,1.3,14446.81195182,107671.32139813951
2020-06-25T17:00:00Z,1.36,1.36,1.28,1.28,14553.59886398,108004.57549489899
2020-06-26T17:00:00Z,1.29,1.32,1.22,1.22,43095.97068475,106845.45388152849
2020-06-27T17:00:00Z,1.23,1.23,1.13,1.17,87062.12379826,109674.44494044498
2020-06-28T17:00:00Z,1.2,1.28,1.05,1.18,158298.55589414,114375.19469215299
